title,href,body
"Parag Agrawal - Wikipedia",https://en.wikipedia.org/wiki/Parag_Agrawal,"Agrawal held research internships at Microsoft Research and Yahoo! Research before joining Twitter as a software engineer in 2011. [16] In October 2017, Twitter announced the appointment of Agrawal as chief technology officer following the departure of Adam Messinger. [17] In December 2019, Twitter CEO Jack Dorsey announced that Agrawal would be in charge of Project Bluesky, an initiative to ..."
"Jack Dorsey - Wikipedia",https://en.wikipedia.org/wiki/Jack_Dorsey,"Jack Patrick Dorsey (born November 19, 1976) [3] is an American businessperson, who is a co-founder of Twitter, Inc. and its CEO during 2007-2008 and 2015-2021, as well as co-founder, principal executive officer and chairman of Block, Inc. (developer of the Square financial services platform). He is also the founder of Bluesky.. As of December 2024, Forbes estimated his net worth to be $5. ..."
"Twitter (X) CEO History: From Dorsey to Yaccarino",https://www.historyoasis.com/post/twitter-x-ceo-history,"Dick Costolo successfully led Twitter as CEO through its IPO, where the young social platform when from a private company valued at $3.7 billion to $23 billion after it went public. However, after the IPO, the company struggled to grow its user base. The period was also filled with platform abuse issues and slow innovation. ‍ JACK DORSEY ..."
"A timeline of Twitter ownership as Elon Musk completes buyout - Metro",https://metro.co.uk/2022/10/28/who-owned-twitter-before-elon-musk-timeline-of-ownership-17655892/,"Despite not being CEO of the company since 2021, Jack Dorsey still owns 2.4%of Twitter. How much did Elon Musk buy Twitter for? The purchase of Twitter is reported to have cost the Tesla founder a ..."
"Parag Agrawal went from Twitter engineer to CEO in just 10 years",https://www.cnbc.com/2021/11/30/parag-agrawal-went-from-twitter-engineer-to-ceo-in-just-10-years.html,"Parag Agrawal, who has been Twitter's CTO since 2017, will take over as CEO immediately after Jack Dorsey's surprise resignation on Monday."
"Twitter co-founder Jack Dorsey steps down as chief executive - BBC",https://www.bbc.com/news/technology-59465747,"Calls for his departure came in 2020 from Elliott management, an investment firm which owns a significant amount of Twitter's shares. The firm reportedly felt that a full-time chief executive with ..."
"Jack Dorsey Steps Down as Twitter CEO, Parag Agrawal Named New CEO",https://www.hollywoodreporter.com/business/digital/jack-dorsey-step-down-twitter-ceo-1235053816/,"Twitter CEO Jack Dorsey to Step Down, Parag Agrawal Named Successor. Dorsey, who co-founded the social networking site, will remain on the company's board of directors through his current term ..."
"New Twitter CEO steps from behind the scenes to high profile",https://apnews.com/article/parag-agrawal-twitter-new-ceo-3e7e1c7c0c6d60777feae0b2bf8bd5a2,"At the end of last year, the company had a workforce of 5,500. Agrawal previously worked at Microsoft, Yahoo and AT&T in research roles. At Twitter, he's worked on machine learning, revenue and consumer engineering and helping with audience growth. He studied at Stanford and the Indian Institute of Technology, Bombay."
"Acquisition of Twitter by Elon Musk - Wikipedia",https://en.wikipedia.org/wiki/Acquisition_of_Twitter_by_Elon_Musk,"Musk began purchasing Twitter stock on January 31, 2022. [4] On April 4, he announced that he had acquired 9.2 percent of the company's shares totaling $2.64 billion, [8] making him the company's largest shareholder. [9] Following the announcement, Twitter's stock experienced its largest intraday surge since the company's initial public offering (IPO) in 2013, rising by as much as 27 percent. [10]"
"19 years of Twitter: From 'Larry the bird' to an X, a timeline of how ...",https://economictimes.indiatimes.com/tech/technology/19-years-of-twitter-from-larry-the-bird-to-an-x-a-timeline-of-how-the-platform-has-evolved/articleshow/119298594.cms,"2010: ""Trending topics"", the retweet option and the hashtag (#) debut. Twitter also adds ""Promoted Tweets"", marking the beginning of its advertising platform. 2012: By June, the platform surpasses 500 million users. 2013: Twitter goes public on the New York Stock Exchange with a valuation of $31 billion. November 2016: The microblogging platform plays a major role in the US presidential ..."
